                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.35163,                0.36968,                0.81996,                0.99579,                0.99591,                0.99497,                0.96386,                0.14485,                0.09031,                0.75685,              0.0088945,              0.0088945,              0.0088945
                     70,                0.35366,                0.37186,                0.82156,                0.99727,                0.99401,                0.99497,                0.96386,                0.14468,                 0.0897,                0.75673,               0.008878,               0.008878,               0.008878
                     71,                0.35182,                0.37264,                0.82058,                0.99586,                0.99576,                0.99497,                0.96402,                0.14465,                0.08935,                0.75671,              0.0088615,              0.0088615,              0.0088615
                     72,                0.35328,                0.37272,                0.81992,                0.99553,                0.99607,                0.99497,                0.96397,                0.14457,                0.08914,                0.75665,               0.008845,               0.008845,               0.008845
                     73,                0.35377,                0.37943,                0.82099,                0.99619,                0.99552,                0.99497,                0.96399,                0.14457,                0.08923,                0.75659,              0.0088285,              0.0088285,              0.0088285
                     74,                0.33328,                0.32019,                0.81388,                0.99567,                0.99619,                0.99497,                0.96393,                0.14435,                0.08886,                0.75656,               0.008812,               0.008812,               0.008812
                     75,                0.33922,                0.34121,                 0.8171,                0.99583,                0.99631,                0.99495,                0.96396,                0.14413,                0.08866,                0.75646,              0.0087955,              0.0087955,              0.0087955
                     76,                0.34081,                 0.3449,                0.81739,                0.99578,                0.99637,                0.99495,                0.96416,                0.14395,                 0.0888,                0.75641,               0.008779,               0.008779,               0.008779
                     77,                0.34333,                0.34902,                 0.8172,                0.99568,                0.99627,                0.99495,                0.96461,                0.14378,                 0.0883,                0.75636,              0.0087625,              0.0087625,              0.0087625
                     78,                0.34477,                0.34815,                0.81741,                0.99682,                0.99504,                0.99496,                0.96444,                0.14364,                0.08803,                0.75632,               0.008746,               0.008746,               0.008746
                     79,                0.34401,                0.35078,                0.81744,                0.99686,                0.99523,                0.99495,                0.96445,                0.14349,                0.08801,                0.75629,              0.0087295,              0.0087295,              0.0087295
                     80,                0.34336,                0.34899,                0.81742,                0.99684,                0.99551,                0.99494,                0.96453,                0.14342,                 0.0879,                0.75621,               0.008713,               0.008713,               0.008713
                     81,                0.34363,                0.34985,                0.81767,                 0.9969,                0.99549,                0.99494,                 0.9643,                0.14338,                0.08803,                0.75612,              0.0086965,              0.0086965,              0.0086965
                     82,                0.34646,                0.35335,                0.81725,                0.99693,                0.99547,                0.99496,                0.96433,                0.14331,                0.08767,                 0.7561,                0.00868,                0.00868,                0.00868
                     83,                0.34548,                 0.3566,                 0.8185,                0.99692,                0.99541,                0.99496,                0.96433,                0.14321,                0.08773,                0.75599,              0.0086635,              0.0086635,              0.0086635
                     84,                 0.3478,                0.35935,                0.81945,                0.99653,                0.99568,                0.99496,                0.96434,                0.14307,                0.08769,                0.75595,               0.008647,               0.008647,               0.008647
                     85,                0.34688,                0.36242,                0.81931,                0.99682,                0.99517,                0.99496,                0.96444,                0.14298,                0.08784,                 0.7559,              0.0086305,              0.0086305,              0.0086305
                     86,                0.34905,                0.36433,                0.81938,                0.99696,                0.99526,                0.99496,                0.96447,                0.14296,                0.08758,                 0.7559,               0.008614,               0.008614,               0.008614
                     87,                0.34951,                0.37047,                0.82044,                0.99564,                0.99657,                0.99496,                0.96443,                0.14288,                0.08752,                 0.7559,              0.0085975,              0.0085975,              0.0085975
                     88,                0.34931,                0.36998,                0.81965,                0.99675,                0.99543,                0.99496,                0.96462,                0.14276,                0.08733,                0.75585,               0.008581,               0.008581,               0.008581
                     89,                0.32411,                 0.2969,                0.81138,                0.99672,                0.99546,                0.99496,                0.96463,                 0.1427,                0.08747,                0.75588,              0.0085645,              0.0085645,              0.0085645
                     90,                0.33153,                0.32466,                0.81474,                0.99678,                0.99542,                0.99496,                0.96457,                0.14262,                0.08711,                0.75583,               0.008548,               0.008548,               0.008548
                     91,                0.33534,                0.33226,                0.81497,                 0.9962,                0.99612,                0.99496,                0.96465,                0.14253,                0.08747,                0.75578,              0.0085315,              0.0085315,              0.0085315
                     92,                0.33895,                0.33686,                0.81553,                0.99659,                0.99575,                0.99496,                0.96467,                0.14251,                0.08733,                0.75579,               0.008515,               0.008515,               0.008515
                     93,                0.34003,                 0.3385,                0.81584,                0.99659,                0.99568,                0.99495,                0.96479,                0.14247,                0.08714,                0.75579,              0.0084985,              0.0084985,              0.0084985
                     94,                0.32086,                0.29014,                0.81005,                0.99666,                0.99568,                0.99495,                0.96484,                0.14241,                0.08715,                0.75578,               0.008482,               0.008482,               0.008482
                     95,                0.33092,                0.32077,                 0.8145,                0.99674,                0.99567,                0.99495,                0.96489,                 0.1424,                 0.0871,                0.75573,              0.0084655,              0.0084655,              0.0084655
                     96,                0.33409,                0.32839,                0.81472,                0.99671,                0.99564,                0.99495,                0.96484,                0.14237,                0.08733,                0.75571,               0.008449,               0.008449,               0.008449
                     97,                0.33776,                0.33451,                0.81552,                0.99665,                 0.9957,                0.99495,                0.96484,                0.14238,                0.08696,                0.75569,              0.0084325,              0.0084325,              0.0084325
                     98,                0.33925,                0.33618,                0.81608,                0.99661,                0.99573,                0.99495,                0.96484,                0.14236,                 0.0874,                 0.7557,               0.008416,               0.008416,               0.008416
                     99,                0.33973,                0.34349,                0.81707,                0.99655,                0.99584,                0.99495,                0.96476,                0.14232,                0.08715,                0.75567,              0.0083995,              0.0083995,              0.0083995
                    100,                0.33975,                0.34048,                0.81618,                0.99658,                 0.9957,                0.99495,                0.96468,                0.14239,                  0.087,                0.75564,               0.008383,               0.008383,               0.008383
                    101,                0.34048,                 0.3443,                0.81639,                0.99668,                0.99565,                0.99495,                 0.9648,                0.14236,                0.08658,                0.75565,              0.0083665,              0.0083665,              0.0083665
                    102,                0.34249,                0.34804,                0.81732,                 0.9968,                0.99561,                0.99495,                0.96488,                0.14237,                0.08668,                0.75564,                0.00835,                0.00835,                0.00835
                    103,                0.31731,                0.28087,                0.80937,                0.99615,                 0.9965,                0.99494,                0.96488,                 0.1423,                0.08679,                0.75559,              0.0083335,              0.0083335,              0.0083335
                    104,                0.32725,                0.31317,                  0.813,                0.99625,                0.99621,                0.99494,                0.96501,                0.14233,                0.08662,                0.75561,               0.008317,               0.008317,               0.008317
                    105,                 0.3309,                0.32262,                0.81394,                 0.9963,                0.99631,                0.99494,                 0.9649,                0.14231,                0.08663,                0.75562,              0.0083005,              0.0083005,              0.0083005
                    106,                0.31521,                0.27733,                 0.8089,                0.99632,                0.99641,                0.99494,                0.96486,                0.14226,                0.08625,                0.75565,               0.008284,               0.008284,               0.008284
                    107,                0.32644,                0.31036,                0.81313,                 0.9964,                0.99614,                0.99494,                0.96477,                0.14222,                0.08656,                0.75563,              0.0082675,              0.0082675,              0.0082675
                    108,                0.33064,                0.32214,                0.81449,                 0.9965,                0.99603,                0.99494,                0.96488,                0.14222,                0.08672,                0.75562,               0.008251,               0.008251,               0.008251
                    109,                 0.3346,                0.33014,                0.81524,                0.99636,                0.99589,                0.99494,                0.96505,                0.14214,                0.08657,                 0.7556,              0.0082345,              0.0082345,              0.0082345
                    110,                0.33702,                0.33291,                0.81558,                0.99524,                0.99697,                0.99493,                0.96511,                 0.1421,                0.08666,                0.75557,               0.008218,               0.008218,               0.008218
                    111,                0.33847,                0.33863,                0.81648,                0.99526,                0.99694,                0.99494,                0.96502,                0.14211,                0.08675,                0.75553,              0.0082015,              0.0082015,              0.0082015
                    112,                0.33885,                0.33901,                0.81628,                0.99531,                0.99689,                0.99494,                0.96491,                0.14211,                0.08636,                0.75558,               0.008185,               0.008185,               0.008185
                    113,                0.33871,                0.34245,                0.81708,                 0.9954,                0.99684,                0.99494,                0.96493,                0.14207,                0.08666,                0.75557,              0.0081685,              0.0081685,              0.0081685
                    114,                0.34203,                0.34694,                0.81635,                0.99566,                0.99675,                0.99494,                 0.9651,                0.14203,                0.08633,                0.75561,               0.008152,               0.008152,               0.008152
                    115,                0.34148,                0.34906,                0.81779,                0.99608,                0.99646,                0.99494,                0.96512,                0.14202,                0.08639,                 0.7556,              0.0081355,              0.0081355,              0.0081355
                    116,                0.34301,                0.35203,                0.81842,                0.99602,                0.99649,                0.99494,                0.96507,                0.14192,                0.08607,                0.75557,               0.008119,               0.008119,               0.008119
                    117,                0.34209,                0.35294,                 0.8176,                0.99596,                0.99656,                0.99495,                 0.9652,                 0.1419,                  0.086,                0.75558,              0.0081025,              0.0081025,              0.0081025
                    118,                0.34444,                0.35601,                0.81767,                0.99599,                0.99658,                0.99495,                0.96535,                0.14182,                0.08599,                0.75556,               0.008086,               0.008086,               0.008086
                    119,                0.31142,                0.26971,                0.80789,                0.99581,                0.99667,                0.99495,                0.96531,                0.14174,                0.08611,                0.75555,              0.0080695,              0.0080695,              0.0080695
                    120,                 0.3221,                0.30256,                0.81194,                 0.9958,                0.99671,                0.99494,                0.96537,                0.14167,                0.08567,                0.75558,               0.008053,               0.008053,               0.008053
                    121,                0.32717,                0.31431,                 0.8132,                0.99575,                0.99674,                0.99494,                 0.9654,                0.14173,                  0.086,                0.75558,              0.0080365,              0.0080365,              0.0080365
                    122,                0.33167,                0.32412,                0.81406,                0.99568,                0.99672,                0.99494,                0.96536,                0.14164,                0.08604,                0.75556,                0.00802,                0.00802,                0.00802
                    123,                0.33419,                0.32653,                0.81477,                0.99621,                0.99615,                0.99494,                0.96536,                0.14167,                0.08634,                 0.7556,              0.0080035,              0.0080035,              0.0080035
                    124,                0.33545,                0.33275,                0.81589,                0.99619,                0.99616,                0.99493,                0.96542,                0.14159,                 0.0863,                0.75556,               0.007987,               0.007987,               0.007987
                    125,                0.33678,                0.33399,                0.81619,                0.99641,                0.99621,                0.99493,                 0.9652,                0.14162,                0.08612,                0.75557,              0.0079705,              0.0079705,              0.0079705
                    126,                0.33653,                0.33848,                0.81618,                0.99641,                0.99621,                0.99493,                0.96508,                0.14155,                0.08641,                0.75551,               0.007954,               0.007954,               0.007954
                    127,                0.33977,                0.34101,                0.81634,                0.99644,                 0.9962,                0.99493,                0.96519,                0.14152,                0.08596,                0.75553,              0.0079375,              0.0079375,              0.0079375
                    128,                 0.3393,                0.34582,                 0.8169,                0.99645,                 0.9962,                0.99493,                0.96507,                 0.1415,                0.08612,                0.75554,               0.007921,               0.007921,               0.007921
                    129,                 0.3413,                0.34746,                0.81793,                0.99652,                0.99618,                0.99493,                0.96497,                0.14154,                0.08608,                0.75553,              0.0079045,              0.0079045,              0.0079045
                    130,                 0.3401,                 0.3508,                0.81735,                0.99654,                0.99618,                0.99494,                0.96514,                0.14148,                0.08604,                0.75549,               0.007888,               0.007888,               0.007888
                    131,                0.30789,                0.26285,                0.80695,                0.99652,                0.99618,                0.99493,                0.96507,                0.14136,                 0.0856,                0.75549,              0.0078715,              0.0078715,              0.0078715
                    132,                0.31953,                0.29595,                0.81168,                0.99648,                 0.9962,                0.99493,                0.96505,                 0.1413,                0.08565,                0.75544,               0.007855,               0.007855,               0.007855
                    133,                0.32516,                0.30958,                0.81306,                0.99651,                0.99623,                0.99494,                0.96519,                0.14125,                0.08563,                 0.7555,              0.0078385,              0.0078385,              0.0078385
