                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.35393,                0.35605,                0.82093,                0.99462,                0.99287,                 0.9945,                0.96166,                0.14517,                0.09309,                0.75541,               0.007294,               0.007294,               0.007294
                     85,                0.34972,                0.35368,                0.81935,                0.99384,                0.99375,                0.99455,                0.96183,                0.14517,                0.09312,                0.75542,               0.007261,               0.007261,               0.007261
                     86,                0.35006,                0.35554,                0.82033,                0.99438,                0.99323,                0.99461,                0.96176,                0.14498,                0.09289,                0.75535,               0.007228,               0.007228,               0.007228
                     87,                0.34985,                0.35623,                0.82124,                0.99278,                0.99485,                 0.9946,                0.96192,                0.14478,                0.09268,                0.75528,               0.007195,               0.007195,               0.007195
                     88,                0.35031,                0.35474,                0.81984,                0.99321,                 0.9946,                 0.9946,                0.96198,                0.14459,                0.09286,                0.75533,               0.007162,               0.007162,               0.007162
                     89,                0.35155,                0.35257,                0.81873,                0.99346,                0.99442,                0.99462,                0.96219,                0.14441,                0.09263,                0.75526,               0.007129,               0.007129,               0.007129
                     90,                0.32059,                0.27993,                0.81175,                0.99309,                0.99486,                0.99462,                 0.9621,                0.14427,                0.09269,                0.75523,               0.007096,               0.007096,               0.007096
                     91,                0.33283,                0.30616,                0.81481,                0.99348,                0.99433,                0.99459,                  0.962,                0.14415,                0.09222,                0.75512,               0.007063,               0.007063,               0.007063
                     92,                0.33191,                0.31094,                0.81427,                0.99303,                0.99487,                0.99458,                0.96202,                0.14406,                0.09199,                0.75511,                0.00703,                0.00703,                0.00703
                     93,                  0.333,                0.31275,                0.81587,                0.99316,                0.99459,                0.99455,                0.96217,                0.14387,                0.09186,                0.75497,               0.006997,               0.006997,               0.006997
                     94,                0.33363,                0.31173,                0.81607,                0.99418,                0.99322,                0.99455,                0.96207,                0.14383,                 0.0916,                0.75491,               0.006964,               0.006964,               0.006964
                     95,                0.33422,                0.31231,                0.81527,                0.99389,                0.99364,                0.99454,                0.96223,                0.14372,                0.09165,                0.75493,               0.006931,               0.006931,               0.006931
                     96,                0.33202,                0.31199,                0.81535,                0.99429,                0.99324,                0.99455,                0.96235,                0.14381,                0.09127,                0.75498,               0.006898,               0.006898,               0.006898
                     97,                0.33434,                0.31501,                0.81559,                0.99424,                0.99344,                0.99451,                0.96226,                0.14383,                0.09179,                0.75498,               0.006865,               0.006865,               0.006865
                     98,                0.33323,                0.31483,                 0.8169,                0.99428,                0.99349,                0.99454,                0.96214,                0.14381,                0.09167,                0.75501,               0.006832,               0.006832,               0.006832
                     99,                0.33424,                0.31592,                0.81494,                0.99446,                0.99383,                 0.9945,                0.96218,                 0.1437,                0.09153,                0.75493,               0.006799,               0.006799,               0.006799
                    100,                0.33245,                0.30891,                0.81518,                0.99452,                0.99383,                0.99448,                 0.9624,                0.14356,                0.09144,                0.75488,               0.006766,               0.006766,               0.006766
                    101,                0.33316,                0.31197,                0.81482,                0.99453,                0.99379,                0.99449,                0.96235,                0.14356,                0.09179,                0.75481,               0.006733,               0.006733,               0.006733
                    102,                 0.3333,                0.31198,                0.81432,                0.99449,                0.99378,                0.99448,                0.96235,                0.14342,                0.09184,                0.75482,                 0.0067,                 0.0067,                 0.0067
                    103,                 0.3358,                0.31776,                0.81624,                0.99462,                0.99362,                0.99447,                0.96236,                0.14345,                0.09216,                0.75481,               0.006667,               0.006667,               0.006667
                    104,                 0.3372,                0.32287,                0.81697,                0.99423,                0.99349,                0.99447,                0.96225,                0.14337,                0.09195,                0.75473,               0.006634,               0.006634,               0.006634
                    105,                0.33834,                0.32662,                0.81693,                0.99561,                0.99196,                0.99448,                0.96235,                0.14337,                0.09193,                0.75466,               0.006601,               0.006601,               0.006601
